Code1|Code2|Code3|County Name/State Abbreviation|Year|Labor Force|Employed|Unemployed|Unemployment (%)
CN2913900000000|29|139|Montgomery County, MO|2012|5,806     |5,350     |456     |7.9     
CN2914100000000|29|141|Morgan County, MO|2012|7,810     |7,034     |776     |9.9     
CN2914300000000|29|143|New Madrid County, MO|2012|8,134     |7,479     |655     |8.1     
CN2914500000000|29|145|Newton County, MO|2012|29,400     |27,590     |1,810     |6.2     
CN2914700000000|29|147|Nodaway County, MO|2012|11,730     |11,077     |653     |5.6     
CN2914900000000|29|149|Oregon County, MO|2012|4,052     |3,733     |319     |7.9     
CN2915100000000|29|151|Osage County, MO|2012|7,334     |6,965     |369     |5.0     
CN2915300000000|29|153|Ozark County, MO|2012|3,595     |3,230     |365     |10.2     
CN2915500000000|29|155|Pemiscot County, MO|2012|7,109     |6,425     |684     |9.6     
CN2915700000000|29|157|Perry County, MO|2012|10,008     |9,495     |513     |5.1     
CN2915900000000|29|159|Pettis County, MO|2012|19,995     |18,584     |1,411     |7.1     
CN2916100000000|29|161|Phelps County, MO|2012|19,677     |18,286     |1,391     |7.1     
CN2916300000000|29|163|Pike County, MO|2012|8,136     |7,579     |557     |6.8     
CN2916500000000|29|165|Platte County, MO|2012|52,486     |49,603     |2,883     |5.5     
CN2916700000000|29|167|Polk County, MO|2012|14,083     |12,998     |1,085     |7.7     
CN2916900000000|29|169|Pulaski County, MO|2012|15,884     |14,591     |1,293     |8.1     
CN2917100000000|29|171|Putnam County, MO|2012|2,353     |2,213     |140     |5.9     
CN2917300000000|29|173|Ralls County, MO|2012|5,631     |5,271     |360     |6.4     
CN2917500000000|29|175|Randolph County, MO|2012|10,673     |9,744     |929     |8.7     
CN2917700000000|29|177|Ray County, MO|2012|11,313     |10,383     |930     |8.2     
CN2917900000000|29|179|Reynolds County, MO|2012|2,268     |2,020     |248     |10.9     
CN2918100000000|29|181|Ripley County, MO|2012|5,511     |4,935     |576     |10.5     
CN2918300000000|29|183|St. Charles County, MO|2012|205,708     |194,204     |11,504     |5.6     
CN2918500000000|29|185|St. Clair County, MO|2012|3,918     |3,608     |310     |7.9     
CN2918600000000|29|186|Ste. Genevieve County, MO|2012|9,034     |8,375     |659     |7.3     
CN2918700000000|29|187|St. Francois County, MO|2012|26,004     |23,694     |2,310     |8.9     
CN2918900000000|29|189|St. Louis County, MO|2012|527,539     |493,385     |34,154     |6.5     
CN2919500000000|29|195|Saline County, MO|2012|11,030     |10,302     |728     |6.6     
CN2919700000000|29|197|Schuyler County, MO|2012|1,891     |1,752     |139     |7.4     
CN2919900000000|29|199|Scotland County, MO|2012|2,347     |2,229     |118     |5.0     
CN2920100000000|29|201|Scott County, MO|2012|19,858     |18,474     |1,384     |7.0     
CN2920300000000|29|203|Shannon County, MO|2012|3,062     |2,725     |337     |11.0     
CN2920500000000|29|205|Shelby County, MO|2012|3,126     |2,938     |188     |6.0     
CN2920700000000|29|207|Stoddard County, MO|2012|13,488     |12,319     |1,169     |8.7     
CN2920900000000|29|209|Stone County, MO|2012|13,690     |12,164     |1,526     |11.1     
CN2921100000000|29|211|Sullivan County, MO|2012|2,780     |2,590     |190     |6.8     
CN2921300000000|29|213|Taney County, MO|2012|25,475     |22,601     |2,874     |11.3     
CN2921500000000|29|215|Texas County, MO|2012|9,649     |8,859     |790     |8.2     
CN2921700000000|29|217|Vernon County, MO|2012|9,622     |9,059     |563     |5.9     
CN2921900000000|29|219|Warren County, MO|2012|16,945     |15,678     |1,267     |7.5     
CN2922100000000|29|221|Washington County, MO|2012|9,981     |8,924     |1,057     |10.6     
CN2922300000000|29|223|Wayne County, MO|2012|5,329     |4,848     |481     |9.0     
CN2922500000000|29|225|Webster County, MO|2012|15,944     |14,812     |1,132     |7.1     
CN2922700000000|29|227|Worth County, MO|2012|1,246     |1,194     |52     |4.2     
CN2922900000000|29|229|Wright County, MO|2012|7,588     |6,950     |638     |8.4     
CN2951000000000|29|510|St. Louis city, MO|2012|161,177     |147,450     |13,727     |8.5     
CN3000100000000|30|001|Beaverhead County, MT|2012|4,908     |4,643     |265     |5.4     
CN3000300000000|30|003|Big Horn County, MT|2012|5,531     |4,862     |669     |12.1     
CN3000500000000|30|005|Blaine County, MT|2012|2,486     |2,327     |159     |6.4     
CN3000700000000|30|007|Broadwater County, MT|2012|2,481     |2,295     |186     |7.5     
CN3000900000000|30|009|Carbon County, MT|2012|5,331     |5,081     |250     |4.7     
CN3001100000000|30|011|Carter County, MT|2012|685     |663     |22     |3.2     
CN3001300000000|30|013|Cascade County, MT|2012|38,376     |36,245     |2,131     |5.6     
CN3001500000000|30|015|Chouteau County, MT|2012|2,668     |2,563     |105     |3.9     
CN3001700000000|30|017|Custer County, MT|2012|6,538     |6,304     |234     |3.6     
CN3001900000000|30|019|Daniels County, MT|2012|941     |911     |30     |3.2     
CN3002100000000|30|021|Dawson County, MT|2012|4,647     |4,494     |153     |3.3     
CN3002300000000|30|023|Deer Lodge County, MT|2012|5,189     |4,901     |288     |5.6     
CN3002500000000|30|025|Fallon County, MT|2012|2,033     |1,991     |42     |2.1     
CN3002700000000|30|027|Fergus County, MT|2012|5,855     |5,541     |314     |5.4     
CN3002900000000|30|029|Flathead County, MT|2012|43,332     |39,419     |3,913     |9.0     
CN3003100000000|30|031|Gallatin County, MT|2012|52,488     |49,805     |2,683     |5.1     
CN3003300000000|30|033|Garfield County, MT|2012|768     |744     |24     |3.1     
CN3003500000000|30|035|Glacier County, MT|2012|6,347     |5,720     |627     |9.9     
CN3003700000000|30|037|Golden Valley County, MT|2012|390     |372     |18     |4.6     
CN3003900000000|30|039|Granite County, MT|2012|1,473     |1,353     |120     |8.1     
CN3004100000000|30|041|Hill County, MT|2012|8,035     |7,567     |468     |5.8     
CN3004300000000|30|043|Jefferson County, MT|2012|5,601     |5,292     |309     |5.5     
CN3004500000000|30|045|Judith Basin County, MT|2012|991     |939     |52     |5.2     
CN3004700000000|30|047|Lake County, MT|2012|12,437     |11,480     |957     |7.7     
CN3004900000000|30|049|Lewis and Clark County, MT|2012|34,919     |33,225     |1,694     |4.9     
CN3005100000000|30|051|Liberty County, MT|2012|1,036     |993     |43     |4.2     
CN3005300000000|30|053|Lincoln County, MT|2012|8,210     |7,181     |1,029     |12.5     
CN3005500000000|30|055|McCone County, MT|2012|1,089     |1,057     |32     |2.9     
CN3005700000000|30|057|Madison County, MT|2012|4,113     |3,856     |257     |6.2     
CN3005900000000|30|059|Meagher County, MT|2012|930     |879     |51     |5.5     
CN3006100000000|30|061|Mineral County, MT|2012|1,768     |1,575     |193     |10.9     
CN3006300000000|30|063|Missoula County, MT|2012|59,139     |55,667     |3,472     |5.9     
CN3006500000000|30|065|Musselshell County, MT|2012|2,416     |2,286     |130     |5.4     
CN3006700000000|30|067|Park County, MT|2012|8,025     |7,465     |560     |7.0     
CN3006900000000|30|069|Petroleum County, MT|2012|299     |286     |13     |4.3     
CN3007100000000|30|071|Phillips County, MT|2012|2,060     |1,937     |123     |6.0     
CN3007300000000|30|073|Pondera County, MT|2012|2,940     |2,796     |144     |4.9     
CN3007500000000|30|075|Powder River County, MT|2012|1,077     |1,037     |40     |3.7     
CN3007700000000|30|077|Powell County, MT|2012|3,015     |2,820     |195     |6.5     
CN3007900000000|30|079|Prairie County, MT|2012|529     |506     |23     |4.3     
CN3008100000000|30|081|Ravalli County, MT|2012|18,716     |17,290     |1,426     |7.6     
CN3008300000000|30|083|Richland County, MT|2012|6,714     |6,526     |188     |2.8     
CN3008500000000|30|085|Roosevelt County, MT|2012|4,821     |4,503     |318     |6.6     
CN3008700000000|30|087|Rosebud County, MT|2012|4,454     |4,152     |302     |6.8     
CN3008900000000|30|089|Sanders County, MT|2012|4,795     |4,244     |551     |11.5     
CN3009100000000|30|091|Sheridan County, MT|2012|2,059     |1,998     |61     |3.0     
CN3009300000000|30|093|Silver Bow County, MT|2012|17,215     |16,170     |1,045     |6.1     
CN3009500000000|30|095|Stillwater County, MT|2012|4,954     |4,732     |222     |4.5     
CN3009700000000|30|097|Sweet Grass County, MT|2012|1,747     |1,679     |68     |3.9     
CN3009900000000|30|099|Teton County, MT|2012|2,940     |2,797     |143     |4.9     
CN3010100000000|30|101|Toole County, MT|2012|2,501     |2,395     |106     |4.2     
CN3010300000000|30|103|Treasure County, MT|2012|379     |360     |19     |5.0     
CN3010500000000|30|105|Valley County, MT|2012|4,024     |3,857     |167     |4.2     
CN3010700000000|30|107|Wheatland County, MT|2012|838     |785     |53     |6.3     
CN3010900000000|30|109|Wibaux County, MT|2012|561     |543     |18     |3.2     
CN3011100000000|30|111|Yellowstone County, MT|2012|78,680     |75,067     |3,613     |4.6     
CN3100100000000|31|001|Adams County, NE|2012|16,887     |16,242     |645     |3.8     
CN3100300000000|31|003|Antelope County, NE|2012|3,581     |3,464     |117     |3.3     
CN3100500000000|31|005|Arthur County, NE|2012|230     |215     |15     |6.5     
CN3100700000000|31|007|Banner County, NE|2012|438     |418     |20     |4.6     
CN3100900000000|31|009|Blaine County, NE|2012|284     |269     |15     |5.3     
CN3101100000000|31|011|Boone County, NE|2012|3,042     |2,948     |94     |3.1     
CN3101300000000|31|013|Box Butte County, NE|2012|5,977     |5,737     |240     |4.0     
CN3101500000000|31|015|Boyd County, NE|2012|1,147     |1,102     |45     |3.9     
CN3101700000000|31|017|Brown County, NE|2012|1,453     |1,394     |59     |4.1     
CN3101900000000|31|019|Buffalo County, NE|2012|27,306     |26,405     |901     |3.3     
CN3102100000000|31|021|Burt County, NE|2012|3,678     |3,504     |174     |4.7     
CN3102300000000|31|023|Butler County, NE|2012|4,744     |4,586     |158     |3.3     
CN3102500000000|31|025|Cass County, NE|2012|13,313     |12,694     |619     |4.6     
CN3102700000000|31|027|Cedar County, NE|2012|4,741     |4,603     |138     |2.9     
CN3102900000000|31|029|Chase County, NE|2012|2,374     |2,317     |57     |2.4     
CN3103100000000|31|031|Cherry County, NE|2012|3,482     |3,382     |100     |2.9     
CN3103300000000|31|033|Cheyenne County, NE|2012|5,789     |5,628     |161     |2.8     
